彖	乛豕 vu
煊	火一 ha
熙	匚灬 kh
燹	豕火 uh
爔	火丶 hd
爬	爪巴 vb
牁	爿口 pk
版	片又 py
牌	片十 pu
牍	片大 pd
牤	牛亡 nw
牦	牛毛 nm
犁	禾牛 hn
犟	弓牛 gn
犰	犭九 qj
犹	犭尤 qy
狉	犭丕 qp
狎	犭甲 qj
狐	犭瓜 qg
狒	犭弗 qf
猹	犭一 qa
猿	犭𧘇 qy
獴	犭乀 qn
玓	王勺 wu
玖	王久 wj
玙	王与 wy
玚	王丿 wp
玠	王丨 wl
玡	王牙 wy
玮	王韦 ww
环	王不 wb
珅	王申 wu
珉	王民 wm
珌	王必 wb
珍	王丿 wp
珑	王龙 wl
珒	王聿 wy
珧	王丶 wd
珩	王亍 wi
珹	王成 wi
球	王求 wq
琇	王乃 wn
琉	王乛 wv
琫	王丨 wl
琯	王㠯 wk
琴	王乛 wv
瑀	王禹 wy
瑄	王一 wa
瑓	王柬 wj
瑟	王必 wb
璒	王一 wa
璘	王丨 wl
璮	王一 wa
璱	王必 wb
瓖	王𧘇 wy
瓞	瓜失 gu
瓠	大瓜 dg
瓢	西瓜 xg
瓮	八瓦 bw
瓴	人瓦 rw
瓶	丷瓦 bw
瓷	冫瓦 dw
瓻	乂瓦 xw
瓿	立瓦 lw
甍	艹瓦 cw
甏	士瓦 uw
甑	丷瓦 bw
用	冂丨 kl
甩	冂乛 kv
甬	龴用 sy
甯	宀用 by
畀	田丨 tl
畅	申丿 up
界	田丨 tl
畖	田瓜 tg
畛	田丿 tp
疗	疒了 bl
疙	疒乞 bq
疚	疒久 bj
疟	疒一 ba
疠	疒万 bw
疡	疒丿 bp
疣	疒尤 by
疥	疒丨 bl
疸	疒一 ba
疹	疒丿 bp
疼	疒丶 bd
痈	疒用 by
痒	疒羊 by
痘	疒一 ba
痛	疒用 by
痧	疒少 bu
瘀	疒丶 bd
瘆	疒丿 bp
癣	疒羊 by
百	一白 ab
癿	白乛 bv
的	白勺 bu
皕	百百 bb
盈	乃皿 nm
盎	央皿 ym
盹	目屯 ot
盾	丿目 po
省	少目 uo
眇	目少 ou
眊	目毛 om
眍	目乂 ox
眠	目民 om
眨	目乏 of
眬	目龙 ol
眶	目王 ow
眺	目丶 od
睇	目丿 op
督	上目 uo
瞩	目禹 oy
瞪	目一 oa
瞬	目丨 ol
瞵	目丨 ol
矜	龴乛 sv
矧	矢丨 ul
矩	矢巨 uj
短	矢一 ua
矻	石乞 uq
矾	石凡 uf
砀	石丿 up
砂	石少 uu
砑	石牙 uy
研	石开 uk
砖	石专 uv
砘	石屯 ut
砥	石氐 ud
砭	石乏 uf
砵	石本 ub
砷	石申 uu
砸	石巾 uj
硪	石我 uw
硫	石乛 uv
硭	石亡 uw
确	石用 uy
碜	石丿 up
碡	石母 um
碣	石乛 uv
碰	石亚 uy
碱	石口 uk
碴	石一 ua
碹	石一 ua
磙	石𧘇 uy
磴	石一 ua
磷	石丨 ul
礓	石一 ua
礞	石乀 un
礼	礻乛 pv
祇	礻氏 pu
祈	礻斤 pj
祎	礻韦 pw
祕	礻必 pb
祗	礻氐 pd
神	礻申 pu
祥	礻羊 py
祧	礻丶 pd
私	禾厶 hs
秃	禾几 hj
秆	禾干 hg
秋	禾火 hh
秕	禾匕 hb
租	禾且 hq
秣	禾末 hm
秤	禾平 hp
秧	禾央 hy
秩	禾失 hu
积	禾八 hb
称	禾小 hx
秸	禾口 hk
移	禾夕 hx
秽	禾夕 hx
稀	禾巾 hj
稃	禾子 hz
稆	禾口 hk
程	禾王 hw
稍	禾月 ho
税	禾儿 he
稑	禾土 ht
稔	禾心 hx
稗	禾十 hu
稞	禾果 hg
稠	禾口 hk
稳	禾心 hx
稷	禾夂 hw
稹	禾八 hb
稽	禾日 ho
稿	禾口 hk
穄	禾小 hx
穑	禾口 hk
穗	禾心 hx
穜	禾里 hl
穟	禾辶 hz
竖	丨立 ll
竭	立乛 lv
笄	𥫗开 vk
笈	𥫗及 vj
笊	𥫗爪 vv
笋	𥫗尹 vy
笔	𥫗毛 vm
笛	𥫗由 vy
笨	𥫗本 vb
笪	𥫗一 va
笫	𥫗丿 vp
第	𥫗丿 vp
笼	𥫗龙 vl
筐	𥫗王 vw
筑	𥫗凡 vf
箍	𥫗巾 vj
算	𥫗廾 vc
管	𥫗㠯 vk
箧	𥫗夹 vj
箨	𥫗丨 vl
箴	𥫗口 vk
篚	𥫗非 vf
篾	𥫗戍 vu
簖	𥫗斤 vj
粲	丨米 lm
糁	米丿 mp
糒	米用 my
系	丿小 px
紧	丨小 lx
纠	纟丨 sl
纥	纟乞 sq
约	纟勺 su
级	纟及 sj
纨	纟丸 sw
纫	纟刃 sr
纬	纟韦 sw
纯	纟屯 st
纱	纟少 su
纴	纟壬 sr
纸	纟氏 su
纻	纟一 sa
纼	纟丨 sl
纾	纟丨 sl
绁	纟世 su
绅	纟申 su
终	纟丶 sd
绋	纟弗 sf
绔	纟亏 sk
绗	纟亍 si
绣	纟乃 sn
绨	纟丿 sp
绾	纟㠯 sk
缄	纟口 sk
缈	纟少 su
缰	纟一 sa
罅	缶乎 fh
罔	冂亡 kw
罘	罒不 sb
羊	丷丨 bl
羑	𦍌久 yj
羕	𦍌永 yy
羝	⺶氐 yd
羯	⺶乛 yv
翀	习中 xv
翡	非习 fx
翮	一习 ax
考	耂乛 lv
耏	而丿 ep
耕	耒井 lj
耖	耒少 lu
耗	耒毛 lm
耜	耒㠯 lk
耦	耒禺 ly
耳	一一 aa
耵	耳丁 ed
耶	耳阝 ee
耻	耳止 ev
耿	耳火 eh
聂	耳又 ey
聃	耳冉 er
聆	耳龴 es
聊	耳卩 ee
职	耳八 eb
聍	耳丁 ed
聒	耳口 ek
联	耳天 et
聩	耳人 er
聪	耳心 ex
肟	月亏 ok
肠	月丿 op
肫	月屯 ot
肼	月井 oj
肽	月太 ot
肾	丨月 lo
肿	月中 ov
胀	月长 oi
胁	月办 ob
胂	月申 ou
胆	月一 oa
胍	月瓜 og
胗	月丿 op
胚	月丕 op
胛	月甲 oj
胝	月氐 od
胣	月也 oy
胧	月龙 ol
胩	月卜 ob
胯	月亏 ok
胸	月凵 ok
胼	月开 ok
脉	月永 oy
脐	月丨 ol
脑	月凵 ok
脓	月农 on
脯	月甫 of
脿	月𧘇 oy
膈	月丨 ol
膦	月丨 ol
膨	月丿 op
膻	月一 oa
致	一攵 aw
臻	一禾 ah
舐	千氏 qu
舛	夕丨 xl
舜	丿丨 pl
舯	舟中 vv
舳	舟由 vy
艉	舟毛 vm
艨	舟乀 vn
艺	艹乛 cv
艽	艹九 cj
艿	艹乃 cn
芃	艹凡 cf
芄	艹丸 cw
芍	艹勺 cu
芎	艹弓 cg
芒	艹亡 cw
芗	艹乡 cx
芝	艹之 cv
芣	艹不 cb
芤	艹乛 cv
芥	艹丨 cl
芨	艹及 cj
芩	艹乛 cv
芪	艹氏 cu
芹	艹斤 cj
芼	艹毛 cm
芽	艹牙 cy
苇	艹韦 cw
苉	艹儿 ce
苌	艹长 ci
苎	艹一 ca
苏	艹办 cb
苠	艹民 cm
苣	艹巨 cj
苤	艹丕 cp
苯	艹本 cb
苾	艹必 cb
茀	艹弗 cf
茂	艹戊 cw
茅	艹丿 cp
茋	艹氐 cd
茏	艹龙 cl
茝	艹丨 cl
茫	艹亡 cw
茽	艹中 cv
荁	艹一 ca
荇	艹亍 ci
荏	艹壬 cr
荒	艹乛 cv
荓	艹开 ck
荠	艹丨 cl
荡	艹丿 cp
荩	艹丶 cd
药	艹勺 cu
莆	艹甫 cf
莎	艹少 cu
莓	艹母 cm
莠	艹乃 cn
莪	艹我 cw
莸	艹尤 cy
莼	艹屯 ct
莽	艹廾 cc
菂	艹勺 cu
菅	艹㠯 ck
菝	艹丶 cd
菟	艹丶 cd
菥	艹斤 cj
菰	艹瓜 cg
萚	艹丨 cl
萨	艹产 ci
萱	艹一 ca
葎	艹聿 cy
葚	艹乛 cv
葛	艹乛 cv
葡	艹甫 cf
葬	艹廾 cc
葳	艹女 cn
葴	艹口 ck
蒇	艹人 cr
蒲	艹甫 cf
蓏	艹瓜 cg
蔑	艹戍 cu
蔬	艹乛 cv
蕲	艹斤 cj
薪	艹斤 cj
藓	艹羊 cy
藕	艹禺 cy
藦	艹手 cu
蘅	艹亍 ci
蘘	艹𧘇 cy
虎	虍几 hj
虏	虍力 hl
虒	丿几 pj
虔	虍文 hw
虤	虍几 hj
虬	虫乛 iv
虻	虫亡 iw
虼	虫乞 iq
虾	虫下 ix
虿	万虫 wi
蚓	虫丨 il
蚜	虫牙 iy
蚝	虫毛 im
蚧	虫丨 il
蚪	虫十 iu
蚯	虫丘 iq
蚰	虫由 iy
蛐	虫曲 iq
蛘	虫羊 iy
蛴	虫丨 il
蛹	虫用 iy
蛾	虫我 iw
蜚	非虫 fi
蜥	虫斤 ij
蝌	虫十 iu
蝎	虫乛 iv
蝤	虫酉 iy
融	一虫 ai
蟒	虫廾 ic
蟛	虫丿 ip
蠓	虫乀 in
衄	血丑 xi
衅	血半 xb
补	衤卜 pb
表	龶𧘇 fy
衩	衤叉 pi
衫	衤丿 pp
衽	衤壬 pr
衿	衤乛 pv
袁	土𧘇 ty
袆	衤韦 pw
袒	衤一 pa
袖	衤由 py
袗	衤丿 pp
裘	求𧘇 qy
裱	衤𧘇 py
裴	非𧘇 fy
褂	衤卜 pb
褐	衤乛 pv
襻	衤手 pu
觃	冂子 kz
角	𠂊用 dy
觚	𠂊瓜 dg
觜	止用 vy
觞	𠂊丿 dp
觱	戌用 xy
訄	九口 jk
讣	讠卜 yb
让	讠上 yu
讫	讠乞 yq
训	讠川 yi
讱	讠刃 yr
讲	讠井 yj
讳	讠韦 yw
讴	讠乂 yx
讵	讠巨 yj
讶	讠牙 yy
讻	讠凵 yk
诉	讠斥 yi
诊	讠丿 yp
诋	讠氐 yd
诓	讠王 yw
诚	讠成 yi
详	讠羊 yy
诫	讠廾 yc
诱	讠乃 yn
诲	讠母 ym
诵	讠用 yy
谌	讠乛 yv
谎	讠乛 yv
谏	讠柬 yj
谑	讠一 ya
谒	讠乛 yv
谗	讠丶 yd
谚	讠丿 yp
谰	讠柬 yj
豇	一工 ag
豉	一又 ay
豌	一乛 av
豚	月豕 ou
豨	豕巾 uj
豫	龴乀 sn
豮	豕人 ur
豳	山豕 eu
貂	豸口 vk
貅	豸木 vm
貉	豸口 vk
貊	豸百 vb
貔	豸匕 vb
貘	豸大 vd
贞	丨人 lr
财	冂才 kc
贤	丨人 lr
账	冂长 ki
贬	冂乏 kf
贮	冂一 ka
赆	冂丶 kd
赇	冂求 kq
赉	来人 lr
赖	束人 ur
赜	匚人 kr
赳	土丨 tl
赴	土卜 tb
趁	土丿 tp
越	土乛 tv
趵	𧾷勺 zu
趸	万人 wr
趼	𧾷开 zk
趿	𧾷及 zj
距	𧾷巨 zj
跨	𧾷亏 zk
跳	𧾷丶 zd
跻	𧾷丨 zl
踊	𧾷用 zy
踽	𧾷禹 zy
蹅	𧾷一 za
蹬	𧾷一 za
蹴	𧾷尤 zy
蹿	𧾷串 zi
躲	身木 um
躺	身口 uk
轧	车乛 iv
轨	车九 ij
轫	车刃 ir
转	车专 iv
轴	车由 iy
轷	车乎 ih
轸	车丿 ip
辅	车甫 if
辈	非车 fi
辋	车亡 iw
辕	车𧘇 iy
辽	辶了 zl
迈	辶万 zw
迎	辶卩 ze
近	辶斤 zj
迓	辶牙 zy
返	辶又 zy
还	辶不 zb
迳	辶工 zg
追	辶㠯 zk
逅	辶口 zk
逋	辶甫 zf
透	辶乃 zn
逐	辶豕 zu
逑	辶求 zq
逗	辶一 za
速	辶束 zu
逦	辶丽 zl
逮	辶乀 zn
逴	辶十 zu
逶	辶女 zn
遁	辶目 zo
遛	辶田 zt
遭	辶日 zo
那	乛阝 ve
邨	屯阝 te
邬	乌阝 we
邱	丘阝 qe
邳	丕阝 pe
邴	丙阝 be
邸	氐阝 de
邺	业阝 ye
郅	一阝 ae
郇	勹阝 be
郈	丿阝 pe
郎	丶阝 de
郏	夹阝 je
郡	尹阝 ye
郦	丽阝 le
郪	一阝 ae
郿	乛阝 ve
鄅	禹阝 ye
鄑	亚阝 ye
鄢	正阝 ve
鄹	耳阝 ee
酉	西一 xa
酌	酉勺 yu
酏	酉也 yy
酒	氵酉 dy
酗	酉凵 yk
酞	酉太 yt
酦	酉丶 yd
酬	酉州 yv
酱	冫酉 dy
酶	酉母 ym
酺	酉甫 yf
酾	酉丽 yl
銎	工金 gj
鋆	土金 tj
鋈	氵金 dj
錾	车金 ij
鎏	氵金 dj
鑫	金金 jj
钆	钅乛 jv
钇	钅乛 jv
钋	钅卜 jb
钌	钅了 jl
钏	钅川 ji
钐	钅丿 jp
钒	钅凡 jf
钓	钅勺 ju
钖	钅丿 jp
钗	钅叉 ji
钘	钅开 jk
钙	钅丐 jg
钚	钅不 jb
钛	钅太 jt
钜	钅巨 jj
钝	钅屯 jt
钞	钅少 ju
钟	钅中 jv
钤	钅乛 jv
钨	钅乌 jw
钭	钅十 ju
钵	钅本 jb
钺	钅乛 jv
钽	钅一 ja
钾	钅甲 jj
铀	钅由 jy
铋	钅必 jb
铐	钅乛 jv
铖	钅成 ji
铫	钅丶 jd
铲	钅产 ji
铴	钅丿 jp
铺	钅甫 jf
锇	钅我 jw
锈	钅乃 jn
锍	钅乛 jv
锎	钅开 jk
锑	钅丿 jp
锛	钅廾 jc
锿	钅𧘇 jy
镉	钅丨 jl
镎	钅手 ju
镓	钅豕 ju
镛	钅丨 jl
镧	钅柬 jj
镩	钅串 ji
镫	钅一 ja
闩	门一 ma
闭	门才 mc
闱	门韦 mw
闸	门甲 mj
阏	门丶 md
阑	门柬 mj
阱	阝井 ej
阶	阝丨 el
陇	阝龙 el
陟	阝丿 ep
隅	阝禺 ey
隔	阝丨 el
雩	雨亏 yk
霁	雨丨 yl
霉	雨母 ym
霪	雨壬 yr
非	丨一 la
靸	革及 gj
靼	革一 ga
鞧	革酉 gy
鞨	革乛 gv
鞴	革用 gy
韦	一丨 al
韧	韦刃 wr
页	一人 ar
顺	川人 ir
顿	屯人 tr
颅	丨人 lr
颇	乛人 vr
颈	乛人 vr
颊	夹人 jr
颐	匚人 kr
颓	禾人 hr
颞	耳人 er
飏	几丿 jp
饧	饣丿 up
饨	饣屯 ut
饪	饣壬 ur
饼	饣开 uk
饿	饣我 uw
馆	饣㠯 uk
馇	饣一 ua
馋	饣丶 ud
馕	饣𧘇 uy
馗	九自 jz
香	禾日 ho
驯	马川 mi
驰	马也 my
驱	马乂 mx
骈	马开 mk
骊	马丽 ml
骖	马丿 mp
骱	骨丨 gl
骶	骨氐 gd
髃	骨禺 gy
髫	一口 ak
髭	一匕 ab
髯	一冉 ar
髹	一木 am
髻	一口 ak
髽	一土 at
鬃	一小 ax
鬈	一乛 av
鬏	一火 ah
鬒	一八 ab
鬓	一八 ab
鬘	一又 ay
鬶	夫丨 fl
鬷	一夂 aw
魁	鬼十 gu
魆	鬼乛 gv
魍	鬼亡 gw
魏	禾鬼 hg
鱿	鱼尤 ay
鲀	鱼屯 at
鲉	鱼由 ay
鲚	鱼丨 al
鲜	鱼羊 ay
鲡	鱼丽 al
鲬	鱼用 ay
鲹	鱼丿 ap
鳙	鱼丨 al
鳞	鱼丨 al
鳣	鱼一 aa
鳤	鱼㠯 ak
鸠	九鸟 jn
鸥	匚鸟 kn
鸬	丨鸟 ln
鸯	央鸟 yn
鸱	氐鸟 dn
鹂	丽鸟 ln
鹅	我鸟 wn
鹉	一鸟 an
鹔	肃鸟 sn
鹙	禾鸟 hn
鹛	乛鸟 vn
鹝	一鸟 an
鹾	丨工 lg
麟	广丨 gl
麾	广毛 gm
鼬	臼由 jy
鼽	自九 zj
齉	自𧘇 zy
齿	止凵 vk
龁	止乞 vq
龂	止斤 vj
龋	止禹 vy
龙	𠂇丶 ud
龛	人龙 rl
㑇	亻彐 re
㕮	口乂 kx
㙍	土又 ty
㙘	土女 tn
㙦	人土 rt
㛹	女更 ng
㟃	山口 ek
㤘	忄彐 xe
㧐	扌又 fy
㧑	扌为 fw
㬊	日又 oy
㬎	日灬 oh
㬚	日攵 ow
㭎	木乂 mx
㭕	木厶 ms
㰀	木氺 mu
㳇	氵乂 dx
㳘	氵儿 de
㴔	氵心 dx
㵐	氵人 dr
㸆	火非 hf
㺄	犭刂 qd
㽏	氵甘 dg
㿠	白兀 bw
䁖	目女 on
䃅	石丨 ul
䎃	冉习 rx
䎖	丷习 bx
䏡	月小 ox
䓖	艹力 cl
䓛	艹出 ci
䓫	艹口 ck
䓬	艹十 cu
䗖	虫巾 ij
䗛	虫月 io
䗪	广虫 gi
䗴	虫廴 iz
䢺	出阝 ie
䢼	艹阝 ce
䣘	⺌阝 xe
䦃	钅日 jo
䲟	鱼卩 ae
䲠	鱼日 ao
䲢	月鱼 oa
䴓	一鸟 an
䴔	亠鸟 wn
䴕	歹鸟 dn
䴖	龶鸟 fn
䴘	丿鸟 pn
䶮	龙天 lt
丁	一丨 al
七	一乛 av
三	一二 ae
丰	一丨 al
丹	丿一 pa
为	丶丶 dd
主	丶王 dw
习	乛冫 vd
二	一一 aa
于	一丨 al
五	一一 aa
些	止二 ve
亢	亠几 wj
亩	亠田 wt
京	亠小 wx
亲	立朩 lm
亹	亠且 wq
人	丿乀 pn
什	亻十 ru
仁	亻二 re
仂	亻力 rl
仃	亻丁 rd
仄	厂人 ir
仅	亻又 ry
仉	亻几 rj
从	人人 rr
仑	人匕 rb
仓	人乛 rv
仔	亻子 rz
仕	亻士 ru
付	亻寸 rc
仙	亻山 re
仝	人工 rg
仟	亻千 rq
代	亻弋 ry
令	人龴 rs
仨	亻三 rs
仪	亻义 ry
仫	亻么 rm
们	亻门 rm
仳	亻匕 rb
仵	亻午 rw
件	亻牛 rn
份	亻刀 rd
仿	亻方 rf
企	人止 rv
伈	亻心 rx
伉	亻几 rj
伍	亻五 rw
伎	亻又 ry
伏	亻犬 rq
伐	亻戈 rg
休	亻木 rm
众	人人 rr
伙	亻火 rh
会	人厶 rs
伤	亻力 rl
伧	亻乛 rv
伪	亻为 rw
伭	亻幺 ry
伯	亻白 rb
估	亻口 rk
伲	亻匕 rb
伴	亻半 rb
伶	亻龴 rs
伺	亻口 rk
似	亻人 rr
伽	亻口 rk
佁	亻口 rk
佃	亻田 rt
位	亻立 rl
住	亻主 rv
佐	亻工 rg
佑	亻口 rk
何	亻口 rk
佗	亻匕 rb
佘	人小 rx
佚	亻失 ru
作	亻乍 rv
佝	亻口 rk
佞	亻女 rn
你	亻小 rx
佬	亻匕 rb
佰	亻百 rb
佳	亻土 rt
佴	亻耳 re
佶	亻口 rk
佸	亻口 rk
佺	亻王 rw
佼	亻乂 rx
佽	亻人 rr
佾	亻月 ro
使	亻吏 rl
侁	亻儿 re
侄	亻土 rt
侈	亻夕 rx
例	亻刂 rd
侍	亻寸 rc
侏	亻朱 rv
侑	亻月 ro
侗	亻口 rk
侘	亻七 rq
供	亻八 rb
依	亻𧘇 ry
侠	亻夹 rj
侣	亻口 rk
侥	亻兀 rw
侦	亻人 rr
侧	亻刂 rd
侩	亻厶 rs
侯	亻矢 ru
侴	人刂 rd
侵	亻又 ry
侹	亻廴 rz
便	亻更 rg
促	亻人 rr
俏	亻月 ro
俐	亻刂 rd
俗	亻口 rk
俘	亻子 rz
俙	亻巾 rj
俚	亻里 rl
保	亻木 rm
信	亻口 rk
俣	亻天 rt
俦	亻寸 rc
俨	亻严 ry
俩	亻两 rl
俫	亻来 rl
俯	亻寸 rc
俱	亻八 rb
俳	亻非 rf
俶	亻又 ry
俾	亻十 ru
倏	亻犬 rq
倒	亻刂 rd
倓	亻火 rh
倔	亻出 ri
倕	亻垂 ri
倘	亻口 rk
候	亻矢 ru
倚	亻口 rk
倜	亻口 rk
倞	亻小 rx
借	亻日 ro
倡	亻日 ro
倥	亻工 rg
倦	亻乛 rv
倧	亻小 rx
倨	亻口 rk
倩	亻月 ro
倪	亻儿 re
倬	亻十 ru
倭	亻女 rn
倮	亻果 rg
债	亻人 rr
倻	亻阝 re
倾	亻人 rr
偁	亻冉 rr
偌	亻口 rk
偏	亻艹 rc
偓	亻土 rt
偕	亻白 rb
做	亻攵 rw
停	亻丁 rd
健	亻廴 rz
偬	亻心 rx
偭	亻面 rm
偰	亻大 rd
偲	亻心 rx
偷	亻刂 rd
偻	亻女 rn
偾	亻人 rr
偿	亻厶 rs
傀	亻鬼 rg
傃	亻小 rx
傈	亻木 rm
傉	亻寸 rc
傍	亻方 rf
傒	亻大 rd
傣	亻氺 ru
傥	亻儿 re
傧	亻八 rb
储	亻日 ro
傺	亻小 rx
傻	亻夂 rw
僎	亻八 rb
僔	亻寸 rc
僖	亻口 rk
僧	亻日 ro
僬	亻灬 rh
僮	亻里 rl
僳	亻米 rm
儆	亻攵 rw
儒	亻而 re
儿	丿乛 pv
允	厶儿 se
兄	口儿 ke
入	丿乀 pn
全	人王 rw
八	丿乀 pn
冈	冂乂 kx
冏	冂口 kk
冒	冂目 ko
冔	冂于 ky
冕	冂乛 kv
冗	冖几 bj
军	冖车 bi
冠	冖寸 bc
冮	冫工 dg
冯	冫马 dm
冰	冫水 du
况	冫儿 de
冶	冫口 dk
冷	冫龴 ds
冻	冫东 dd
冼	冫儿 de
冽	冫刂 dd
凄	冫女 dn
凇	冫厶 ds
凉	冫小 dx
凋	冫口 dk
凑	冫天 dt
凓	冫木 dm
凝	冫人 dr
几	丿乛 pv
凤	几又 jy
凭	亻几 rj
凰	几王 jw
刈	乂刂 xd
刊	干刂 gd
刍	𠂊彐 de
刎	勿刂 wd
刑	开刂 kd
列	歹刂 dd
刚	冂刂 kd
创	人刂 rd
初	衤刀 pd
删	册刂 cd
判	半刂 bd
别	口刂 kd
刬	戋刂 jd
刮	千刂 qd
刳	大刂 dd
刷	尸刂 ud
刹	乂刂 xd
刻	亠刂 wd
刽	人刂 rd
刿	山刂 ed
剁	几刂 jd
剂	文刂 wd
剃	丷刂 bd
削	⺌刂 xd
剋	十刂 ud
剔	日刂 od
剜	宀刂 bd
剞	大刂 dd
剡	火刂 hd
剥	彐刂 ed
剧	尸刂 ud
剩	千刂 qd
剪	丷刀 bd
割	宀刂 bd
剽	西刂 xd
劁	亻刂 rd
劄	𥫗刂 vd
劓	自刂 zd
力	乛丿 vp
务	夂力 wl
努	女力 nl
劫	土力 tl
劬	勹力 bl
劭	刀力 dl
励	厂力 il
劼	士力 ul
劾	亠力 wl
势	扌力 fl
勇	龴力 sl
勉	𠂊力 dl
勋	口力 kl
勐	子力 zl
勖	冂力 kl
勤	廿力 nl
勿	勹丿 bp
匕	丿乛 pv
化	亻匕 rb
十	一丨 al
千	丿十 pu
半	丶丨 dl
华	亻十 ru
卖	十大 ud
危	𠂊乛 dv
却	土卩 te
厂	一丿 ap
厄	厂乛 iv
厅	厂丁 id
历	厂力 il
厉	厂万 iw
厍	厂车 ii
厕	厂刂 id
厘	厂里 il
厚	厂子 iz
厝	厂日 io
原	厂小 ix
厢	厂目 io
厦	厂夂 iw
厨	厂寸 ic
厩	厂乛 iv
去	土厶 ts
叁	厶三 ss
叆	二又 ey
叇	二辶 ez
双	又又 yy
叕	又又 yy
叙	人又 ry
叛	半又 by
口	丨一 la
古	十口 uk
另	口力 kl
叨	口刀 kd
叩	口卩 ke
只	口八 kb
叭	口八 kb
叮	口丁 kd
可	丁口 dk
台	厶口 sk
叱	口匕 kb
叶	口十 ku
叹	口又 ky
叻	口力 kl
叽	口几 kj
吁	口于 ky
各	夂口 wk
吆	口幺 ky
合	人口 rk
吊	口巾 kj
同	冂口 kk
名	夕口 xk
吐	口土 kt
吕	口口 kk
吗	口马 km
吞	天口 tk
吠	口犬 kq
吡	口匕 kb
吣	口心 kx
吧	口巴 kb
吩	口刀 kd
吭	口几 kj
吮	口儿 ke
吱	口又 ky
吴	口天 kt
吹	口人 kr
吻	口勿 kw
吽	口牛 kn
呃	口乛 kv
呆	口木 km
呇	水口 uk
呈	口王 kw
呋	口夫 kf
呐	口内 kn
呒	口无 kw
呖	口力 kl
呗	口人 kr
员	口人 kr
呙	口内 kn
呛	口乛 kv
呢	口匕 kb
呤	口龴 ks
呦	口力 kl
呲	口匕 kb
味	口未 kw
呵	口口 kk
呶	口又 ky
命	人卩 re
咀	口且 kq
咄	口出 ki
咆	口巳 ks
咉	口央 ky
咋	口乍 kv
咍	口口 kk
咎	夂口 wk
咐	口寸 kc
咕	口口 kk
咖	口口 kk
咛	口丁 kd
咝	口丝 ks
咡	口耳 ke
咣	口兀 kw
咤	口七 kq
咥	口土 kt
咦	口夷 ky
咧	口刂 kd
咨	冫口 dk
咪	口米 km
咫	尺八 ib
咬	口乂 kx
咯	口口 kk
咱	口自 kz
咳	口人 kr
咴	口火 kh
咻	口木 km
咽	口大 kd
品	口口 kk
哂	口西 kx
哃	口口 kk
哄	口八 kb
哆	口夕 kx
哇	口土 kt
哈	口口 kk
响	口口 kk
哎	口乂 kx
哒	口辶 kz
哓	口兀 kw
哔	口十 ku
哕	口夕 kx
哗	口十 ku
哙	口厶 ks
哚	口木 km
哧	口丶 kd
哨	口月 ko
哩	口里 kl
哪	口阝 ke
哮	口子 kz
哲	扌口 fk
哽	口更 kg
哿	力口 lk
唁	口口 kk
唏	口巾 kj
唐	广口 gk
唑	口土 kt
唔	口口 kk
唛	口夂 kw
唝	口人 kr
唠	口力 kl
唢	口人 kr
唣	口七 kq
唤	口大 kd
唧	口卩 ke
唬	口几 kj
唰	口刂 kd
唱	口日 ko
唳	口犬 kq
唷	口月 ko
唼	口女 kn
唾	口垂 ki
唿	口心 kx
啁	口口 kk
啃	口月 ko
啉	口木 km
啊	口口 kk
啐	口十 ku
啖	口火 kh
啡	口非 kf
啤	口十 ku
啥	口口 kk
啦	口立 kl
啧	口人 kr
啪	口白 kb
啫	口日 ko
啬	十口 uk
啰	口夕 kx
啴	口丨 kl
啵	口又 ky
啶	口人 kr
啷	口阝 ke
啸	口肃 ks
啻	亠口 wk
啼	口巾 kj
啾	口火 kh
喀	口口 kk
喃	口干 kg
喆	士口 uk
喈	口白 kb
喉	口矢 ku
喏	口口 kk
喑	口日 ko
喔	口土 kt
喘	口而 ke
喜	士口 uk
喟	口月 ko
喤	口王 kw
喱	口里 kl
喵	口田 kt
喷	口人 kr
喹	口土 kt
喻	口刂 kd
喽	口女 kn
嗄	口夂 kw
嗅	口犬 kq
嗉	口小 kx
嗌	口皿 km
嗐	口口 kk
嗓	口木 km
嗔	口八 kb
嗞	口幺 ky
嗟	口工 kg
嗡	口习 kx
嗤	口虫 ki
嗦	口小 kx
嗪	口禾 kh
嗫	口又 ky
嗬	口口 kk
嗯	口心 kx
嗲	口夕 kx
嗳	口又 ky
嗵	口辶 kz
嗾	口矢 ku
嘈	口日 ko
嘉	士口 uk
嘌	口小 kx
嘎	口戈 kg
嘏	十又 uy
嘚	口寸 kc
嘛	口木 km
嘞	口力 kl
嘟	口阝 ke
嘡	口土 kt
嘣	口月 ko
嘤	口女 kn
嘧	口山 ke
嘬	口又 ky
嘲	口月 ko
嘻	口口 kk
嘿	口黑 kh
噀	口八 kb
噂	口寸 kc
噇	口里 kl
噌	口日 ko
噍	口灬 kh
噙	口丶 kd
噜	口日 ko
噢	口大 kd
噤	口小 kx
噪	口木 km
噫	口心 kx
噻	口土 kt
嚅	口而 ke
嚏	口人 kr
嚓	口小 kx
嚭	士口 uk
囚	囗人 kr
回	囗口 kk
因	囗大 kd
囡	囗女 kn
囫	囗勿 kw
园	囗儿 ke
困	囗木 km
囵	囗匕 kb
囷	囗禾 kh
囹	囗龴 ks
固	囗口 kk
国	囗玉 ky
囿	囗月 ko
圄	囗口 kk
圆	囗人 kr
